City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,16.32,49,1,2.71,AU,2023-04-22
1,victoria,22.2855,114.1577,24.1,91,89,7.6,HK,2023-04-22
2,neuquen,-38.9516,-68.0591,21.94,30,0,4.12,AR,2023-04-22
3,new norfolk,-42.7826,147.0587,13.72,65,69,0.45,AU,2023-04-22
4,atuona,-9.8,-139.0333,27.44,78,56,6.33,PF,2023-04-22
5,ushuaia,-54.8,-68.3,10.81,50,75,8.75,AR,2023-04-22
6,mar del plata,-38.0023,-57.5575,15.01,77,100,6.17,AR,2023-04-22
7,coquimbo,-29.9533,-71.3436,15.85,82,100,4.63,CL,2023-04-22
8,jamestown,42.097,-79.2353,10.8,93,100,8.23,US,2023-04-22
9,katherine,-14.4667,132.2667,21.18,83,4,2.57,AU,2023-04-22
10,norman wells,65.282,-126.8329,-2.98,86,100,6.69,CA,2023-04-22
11,burnie,-41.0667,145.9167,14.41,78,60,3.98,AU,2023-04-22
12,mwense,-10.3845,28.698,20.46,93,86,1.93,ZM,2023-04-22
13,port alfred,-33.5906,26.891,15.1,68,100,0.89,ZA,2023-04-22
14,bilibino,68.0546,166.4372,-10.51,73,42,1.95,RU,2023-04-22
15,airai,-8.9266,125.4092,14.77,91,88,1.42,TL,2023-04-22
16,pacific grove,36.6177,-121.9166,18.78,85,40,4.47,US,2023-04-22
17,vaini,-21.2,-175.2,23.09,88,20,3.6,TO,2023-04-22
18,bethel,41.3712,-73.414,18.9,76,100,4.63,US,2023-04-22
19,rumoi,43.9344,141.6428,3.97,78,87,2.96,JP,2023-04-22
20,bluff,-46.6,168.3333,11.56,78,67,8.2,NZ,2023-04-22
21,george town,5.4112,100.3354,27.96,88,20,2.06,MY,2023-04-22
22,carnarvon,-24.8667,113.6333,23.32,57,0,5.7,AU,2023-04-22
23,thompson,55.7435,-97.8558,0.09,51,20,3.6,CA,2023-04-22
24,barrow,71.2906,-156.7887,-19.99,77,0,8.23,US,2023-04-22
25,waipawa,-41.4122,175.5153,12.16,95,87,1.07,NZ,2023-04-22
26,lompoc,34.6391,-120.4579,25.43,68,81,8.49,US,2023-04-22
27,dikson,73.5069,80.5464,-4.8,94,99,3.71,RU,2023-04-22
28,cape town,-33.9258,18.4232,15.06,89,100,10.29,ZA,2023-04-22
29,tuktoyaktuk,69.4541,-133.0374,-17.0,78,100,8.75,CA,2023-04-22
30,praya,14.9215,-23.5087,25.3,57,20,9.26,CV,2023-04-22
31,vardo,70.3705,31.1107,-5.01,86,100,7.72,NO,2023-04-22
32,yellowknife,62.456,-114.3525,5.29,52,75,6.17,CA,2023-04-22
33,cherskiy,68.75,161.3,-10.7,90,47,0.96,RU,2023-04-22
34,rikitea,-23.1203,-134.9692,26.16,90,99,8.06,PF,2023-04-22
35,adrar,20.5022,-10.0711,31.28,13,70,4.4,MR,2023-04-22
36,punta arenas,-53.15,-70.9167,11.06,54,0,5.14,CL,2023-04-22
37,satka,55.0425,59.04,5.78,90,100,1.79,RU,2023-04-22
38,manzhouli,49.6,117.4333,-2.67,22,6,1.58,CN,2023-04-22
39,kapaa,22.0752,-159.319,23.99,94,0,3.09,US,2023-04-22
40,albany,42.6001,-73.9662,18.35,64,100,1.79,US,2023-04-22
41,tasiilaq,65.6145,-37.6368,0.09,79,37,1.87,GL,2023-04-22
42,lorengau,-2.0226,147.2712,27.58,79,98,2.33,PG,2023-04-22
43,sitka,57.0531,-135.33,7.94,61,100,6.17,US,2023-04-22
44,qaanaaq,77.484,-69.3632,-6.27,84,100,2.87,GL,2023-04-22
45,saskylakh,71.9167,114.0833,-15.85,98,95,1.98,RU,2023-04-22
46,meulaboh,4.1363,96.1285,25.86,88,99,1.49,ID,2023-04-22
47,salinopolis,-0.6136,-47.3561,29.5,72,94,5.36,BR,2023-04-22
48,georgetown,5.4112,100.3354,27.96,88,20,2.06,MY,2023-04-22
49,cabo san lucas,22.8909,-109.9124,32.01,28,20,2.06,MX,2023-04-22
50,yangambi,0.8102,24.4336,20.84,94,100,0.53,CD,2023-04-22
51,pevek,69.7008,170.3133,-11.88,83,22,1.22,RU,2023-04-22
52,saldanha,-33.0117,17.9442,15.16,83,100,8.2,ZA,2023-04-22
53,mataura,-46.1927,168.8643,11.38,98,96,1.31,NZ,2023-04-22
54,caravelas,-17.7125,-39.2481,26.87,66,100,5.09,BR,2023-04-22
55,changji,44.0167,87.3167,10.44,50,0,2.0,CN,2023-04-22
56,mildura,-34.2,142.15,15.27,67,0,3.67,AU,2023-04-22
57,severo-kurilsk,50.6789,156.125,-0.19,94,96,3.66,RU,2023-04-22
58,ribeira grande,38.5167,-28.7,18.22,88,75,7.2,PT,2023-04-22
59,puerto ayora,-0.7393,-90.3518,29.98,85,63,6.26,EC,2023-04-22
60,antofagasta,-23.65,-70.4,21.6,67,96,2.83,CL,2023-04-22
61,maceio,-9.6658,-35.7353,30.69,62,40,6.17,BR,2023-04-22
62,mirnyy,62.5353,113.9611,-16.28,96,7,0.75,RU,2023-04-22
63,lazaro cardenas,17.9583,-102.2,28.93,58,79,3.57,MX,2023-04-22
64,chuy,-33.6971,-53.4616,23.94,42,97,1.61,UY,2023-04-22
65,mahebourg,-20.4081,57.7,25.16,94,75,2.06,MU,2023-04-22
66,torbay,47.6666,-52.7314,4.04,96,100,10.8,CA,2023-04-22
67,elko,41.0002,-115.5012,9.3,47,93,3.13,US,2023-04-22
68,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,100,75,5.0,RU,2023-04-22
69,rudnogorsk,57.2639,103.7519,-4.2,85,100,4.1,RU,2023-04-22
70,cidreira,-30.1811,-50.2056,22.75,58,87,3.19,BR,2023-04-22
71,clyde river,70.4692,-68.5914,-5.87,86,100,2.06,CA,2023-04-22
72,arona,28.0996,-16.681,19.39,85,40,3.6,ES,2023-04-22
73,san cristobal,7.7669,-72.225,21.1,52,100,2.21,VE,2023-04-22
74,faya,18.3851,42.4509,19.06,63,7,3.1,SA,2023-04-22
75,hermanus,-34.4187,19.2345,15.35,65,100,5.77,ZA,2023-04-22
76,putina,-15.4667,-69.4333,9.39,46,35,1.74,PE,2023-04-22
77,pringsewu,-5.3582,104.9744,23.54,97,37,0.22,ID,2023-04-22
78,hellin,38.5106,-1.701,21.77,36,94,4.97,ES,2023-04-22
79,coihaique,-45.5752,-72.0662,13.97,47,40,3.09,CL,2023-04-22
80,jinka,5.65,36.65,19.46,82,99,1.85,ET,2023-04-22
81,longyearbyen,78.2186,15.6401,-13.09,66,0,4.12,SJ,2023-04-22
82,saint-philippe,-21.3585,55.7679,25.77,78,58,2.95,RE,2023-04-22
83,bouza,14.4229,6.0428,39.49,8,51,4.19,NE,2023-04-22
84,kavieng,-2.5744,150.7967,27.53,81,100,5.28,PG,2023-04-22
85,namibe,-15.1961,12.1522,26.03,78,72,3.81,AO,2023-04-22
86,hithadhoo,-0.6,73.0833,28.84,71,54,0.4,MV,2023-04-22
87,bathsheba,13.2167,-59.5167,29.34,70,40,5.14,BB,2023-04-22
88,avarua,-21.2078,-159.775,23.03,83,20,2.06,CK,2023-04-22
89,najran,17.4924,44.1277,26.36,50,67,0.81,SA,2023-04-22
90,half moon bay,37.4636,-122.4286,22.73,71,0,2.57,US,2023-04-22
91,watertown,42.3709,-71.1828,14.01,75,100,7.72,US,2023-04-22
92,krasnogorskiy,54.6025,61.231,9.08,71,100,6.11,RU,2023-04-22
93,san patricio,28.017,-97.5169,27.92,55,0,6.47,US,2023-04-22
94,pisco,-13.7,-76.2167,28.03,57,19,9.26,PE,2023-04-22
95,maniitsoq,65.4167,-52.9,1.26,77,100,2.35,GL,2023-04-22
96,jalu,29.0331,21.5482,29.88,11,100,5.01,LY,2023-04-22
97,marshall,34.3834,-86.3333,20.61,49,0,3.09,US,2023-04-22
98,aklavik,68.2191,-135.0107,-18.25,91,100,10.01,CA,2023-04-22
99,hobart,-42.8794,147.3294,13.92,61,40,6.69,AU,2023-04-22
100,itarema,-2.9248,-39.9167,29.73,59,15,5.97,BR,2023-04-22
101,saint-paul,-21.0096,55.2707,26.06,92,56,0.45,RE,2023-04-22
102,udachnyy,66.4167,112.4,-8.93,97,100,2.25,RU,2023-04-22
103,bengkulu,-3.8004,102.2655,25.11,90,96,1.81,ID,2023-04-22
104,thinadhoo,0.5333,72.9333,29.3,70,43,1.27,MV,2023-04-22
105,krasnoselkup,65.7,82.4667,0.86,98,100,6.77,RU,2023-04-22
106,constitucion,-35.3333,-72.4167,18.19,64,16,4.15,CL,2023-04-22
107,brookings,44.3114,-96.7984,2.88,61,100,9.26,US,2023-04-22
108,la palma,33.8464,-118.0467,29.9,42,0,1.54,US,2023-04-22
109,axim,4.8699,-2.2405,29.06,73,79,4.39,GH,2023-04-22
110,arco,45.9177,10.8867,20.58,49,97,1.96,IT,2023-04-22
111,hinton,53.4001,-117.5857,5.43,63,100,1.25,CA,2023-04-22
112,khatanga,71.9667,102.5,-22.08,99,31,2.35,RU,2023-04-22
113,lae,-6.7221,146.9847,24.18,82,37,2.26,PG,2023-04-22
114,zamora,-4.0692,-78.9567,28.58,55,100,0.59,EC,2023-04-22
115,hilo,19.7297,-155.09,26.27,89,40,2.57,US,2023-04-22
116,camacha,33.0833,-16.3333,17.68,63,20,3.6,PT,2023-04-22
117,great yarmouth,52.6083,1.7305,14.14,80,91,4.74,GB,2023-04-22
118,beoumi,7.6736,-5.5764,36.5,32,47,3.17,CI,2023-04-22
119,morehead,37.2711,-87.1764,15.99,50,0,2.57,US,2023-04-22
120,nagua,19.3832,-69.8474,29.17,74,20,5.14,DO,2023-04-22
121,tenenkou,14.4572,-4.9169,39.26,7,58,5.13,ML,2023-04-22
122,devils lake,48.1128,-98.8651,2.06,70,0,6.69,US,2023-04-22
123,pacifica,37.6138,-122.4869,23.13,75,20,2.57,US,2023-04-22
124,faanui,-16.4833,-151.75,27.54,80,100,5.78,PF,2023-04-22
125,henties bay,-22.116,14.2845,17.03,80,100,3.95,NA,2023-04-22
126,arraial do cabo,-22.9661,-42.0278,26.98,69,40,5.66,BR,2023-04-22
127,rosamorada,22.1222,-105.2058,32.67,31,95,1.74,MX,2023-04-22
128,upernavik,72.7868,-56.1549,-0.8,96,100,6.47,GL,2023-04-22
129,malatya,38.5,38.0,8.03,81,0,2.06,TR,2023-04-22
130,valparaiso,-33.0393,-71.6273,18.13,72,40,5.66,CL,2023-04-22
131,awjilah,29.1081,21.2869,30.12,11,100,5.59,LY,2023-04-22
132,chokurdakh,70.6333,147.9167,-15.32,100,86,1.25,RU,2023-04-22
133,mudkhed,19.1667,77.5167,30.6,26,1,7.31,IN,2023-04-22
134,cabedelo,-6.9811,-34.8339,31.37,64,28,6.77,BR,2023-04-22
135,luderitz,-26.6481,15.1594,15.48,63,60,3.1,NA,2023-04-22
136,provideniya,64.3833,-173.3,-7.82,77,8,1.47,RU,2023-04-22
137,kayerkan,69.3497,87.7602,0.85,100,100,4.64,RU,2023-04-22
138,margate,51.3813,1.3862,13.16,69,95,2.68,GB,2023-04-22
139,ponta delgada,37.7333,-25.6667,18.4,88,40,4.63,PT,2023-04-22
140,esik,43.3552,77.4525,2.68,36,62,2.41,KZ,2023-04-22
141,basco,20.4487,121.9702,24.73,78,99,6.23,PH,2023-04-22
142,roald,62.5833,6.1333,11.51,70,40,14.92,NO,2023-04-22
143,dosso,13.049,3.1937,41.09,7,37,2.54,NE,2023-04-22
144,dutse,11.7594,9.3392,38.17,13,78,2.74,NG,2023-04-22
145,tonj,7.2737,28.6822,30.27,45,100,3.09,SS,2023-04-22
146,minab,27.1467,57.0801,26.18,38,82,1.03,IR,2023-04-22
147,sebina,-20.8667,27.25,25.5,30,91,3.66,BW,2023-04-22
148,souillac,-20.5167,57.5167,25.21,94,75,2.06,MU,2023-04-22
149,salalah,17.0151,54.0924,29.05,70,0,2.06,OM,2023-04-22
150,escanaba,45.7453,-87.0646,9.58,57,0,5.14,US,2023-04-22
151,iqaluit,63.7506,-68.5145,-0.15,93,100,8.05,CA,2023-04-22
152,aykhal,66.0,111.5,-9.94,94,100,3.29,RU,2023-04-22
153,chake chake,-5.2459,39.7666,24.74,93,100,2.98,TZ,2023-04-22
154,kahului,20.8947,-156.47,26.02,81,0,2.68,US,2023-04-22
155,santiago de cuenda,20.6,-100.9833,28.83,21,99,3.35,MX,2023-04-22
156,khandbari,27.3747,87.2039,17.29,62,74,2.39,NP,2023-04-22
157,high level,58.5169,-117.136,6.06,42,75,4.63,CA,2023-04-22
158,castro,-24.7911,-50.0119,20.68,53,26,1.5,BR,2023-04-22
159,nouadhibou,20.931,-17.0347,22.99,64,0,9.77,MR,2023-04-22
160,zhangye,38.9342,100.4517,5.73,80,98,0.9,CN,2023-04-22
161,saint george,37.1041,-113.5841,20.8,34,0,2.24,US,2023-04-22
162,fatehabad,29.5167,75.45,24.56,33,29,5.68,IN,2023-04-22
163,johi,26.6921,67.6133,31.36,8,0,0.84,PK,2023-04-22
164,surt,31.2089,16.5887,19.69,75,29,8.51,LY,2023-04-22
165,nacogdoches,31.6002,-94.6335,23.65,46,0,4.12,US,2023-04-22
166,broken hill,-31.95,141.4333,15.07,56,0,4.1,AU,2023-04-22
167,gospic,44.5461,15.3747,14.83,74,44,1.05,HR,2023-04-22
168,gallup,35.5281,-108.7426,12.91,32,40,3.6,US,2023-04-22
169,nicolas bravo,18.45,-88.9167,35.03,37,74,1.76,MX,2023-04-22
170,nizhnevartovsk,60.9344,76.5531,4.01,100,75,2.0,RU,2023-04-22
171,ilulissat,69.2167,-51.1,0.01,74,75,1.54,GL,2023-04-22
172,tilichiki,60.4667,166.1,-4.04,80,89,8.11,RU,2023-04-22
173,butaritari,3.0707,172.7902,27.93,74,100,3.97,KI,2023-04-22
174,el tigre,8.8875,-64.2454,29.42,54,99,2.65,VE,2023-04-22
175,port keats,-14.25,129.55,24.01,62,4,3.47,AU,2023-04-22
176,norwich,52.6278,1.2983,14.1,53,20,4.63,GB,2023-04-22
177,olafsvik,64.8945,-23.7142,3.49,60,15,3.11,IS,2023-04-22
178,lagoa,39.05,-27.9833,16.37,91,16,7.72,PT,2023-04-22
179,los alamos,35.8881,-106.307,10.72,28,100,4.12,US,2023-04-22
180,solnechnyy,50.7214,136.6319,-1.29,95,100,3.71,RU,2023-04-22
181,chitungwiza,-18.0127,31.0756,22.47,45,79,2.87,ZW,2023-04-22
182,moscow,55.7522,37.6156,14.29,46,28,2.38,RU,2023-04-22
183,borovoy,55.4333,86.0833,4.6,41,0,2.0,RU,2023-04-22
184,huarmey,-10.0681,-78.1522,27.38,69,27,4.22,PE,2023-04-22
185,orocue,4.7912,-71.3354,32.23,50,89,2.96,CO,2023-04-22
186,lima,-12.0432,-77.0282,25.14,65,0,8.23,PE,2023-04-22
187,alofi,-19.0595,-169.9187,15.94,100,1,1.03,NU,2023-04-22
188,saint-pierre,-21.3393,55.4781,25.82,78,75,2.06,RE,2023-04-22
189,tiksi,71.6872,128.8694,-16.81,98,26,2.54,RU,2023-04-22
190,nisia floresta,-6.0911,-35.2086,31.45,55,49,6.52,BR,2023-04-22
191,manavgat,36.7867,31.4431,16.73,71,48,0.55,TR,2023-04-22
192,port elizabeth,-33.918,25.5701,17.16,66,0,2.57,ZA,2023-04-22
193,el alto,-4.2714,-81.2147,28.81,73,100,3.18,PE,2023-04-22
194,safaga,26.7292,33.9365,24.59,50,97,4.31,EG,2023-04-22
195,sampit,-2.5333,112.95,24.13,98,100,1.1,ID,2023-04-22
196,medicine hat,50.0501,-110.6683,4.56,54,100,2.57,CA,2023-04-22
197,yatou,37.15,122.3833,9.53,43,100,2.73,CN,2023-04-22
198,bilma,18.6853,12.9164,36.9,8,1,5.95,NE,2023-04-22
199,avera,33.194,-82.5271,26.62,53,40,6.02,US,2023-04-22
200,husavik,66.0449,-17.3389,2.11,49,6,2.78,IS,2023-04-22
201,alora,36.8236,-4.7058,24.95,42,75,2.61,ES,2023-04-22
202,kaitangata,-46.2817,169.8464,10.67,91,90,2.5,NZ,2023-04-22
203,pirai do sul,-24.5261,-49.9486,22.91,42,12,0.36,BR,2023-04-22
204,praia,14.9215,-23.5087,25.3,57,20,9.26,CV,2023-04-22
205,wallaceburg,42.593,-82.3885,12.84,64,100,1.34,CA,2023-04-22
206,katobu,-4.9408,122.5276,24.11,89,100,1.75,ID,2023-04-22
207,bredasdorp,-34.5322,20.0403,14.22,75,100,2.54,ZA,2023-04-22
208,kungurtug,50.5994,97.5228,-8.42,84,74,0.74,RU,2023-04-22
209,kyrylivka,46.3759,35.3675,10.2,76,78,2.21,UA,2023-04-22
210,persianovskiy,47.5137,40.1075,12.53,100,75,3.0,RU,2023-04-22
211,sarkand,45.41,79.9186,3.4,38,1,2.37,KZ,2023-04-22
212,olupona,7.6,4.1833,29.73,64,89,3.84,NG,2023-04-22
213,northam,51.0333,-4.2167,9.78,90,100,4.39,GB,2023-04-22
214,kieta,-6.2167,155.6333,26.25,84,25,1.98,PG,2023-04-22
215,ponta do sol,32.6667,-17.1,20.0,74,94,0.58,PT,2023-04-22
216,jumla,29.2747,82.1838,6.84,59,50,2.21,NP,2023-04-22
217,verkhnevilyuysk,63.4453,120.3167,-13.55,98,29,1.71,RU,2023-04-22
218,nishihara,26.1842,127.7558,21.81,83,75,3.6,JP,2023-04-22
219,preili,56.2944,26.7246,12.98,60,96,2.24,LV,2023-04-22
220,bambous virieux,-20.3428,57.7575,25.14,94,75,2.06,MU,2023-04-22
221,tura,25.5198,90.2201,22.3,68,43,2.96,IN,2023-04-22
222,lippstadt,51.6667,8.35,18.9,48,0,4.63,DE,2023-04-22
223,bucerias,20.75,-105.3333,24.99,69,75,4.63,MX,2023-04-22
224,pasni,25.2631,63.471,26.78,73,0,8.87,PK,2023-04-22
225,yulara,-25.2406,130.9889,16.58,39,7,4.83,AU,2023-04-22
226,yilan,24.757,121.753,23.34,99,78,0.41,TW,2023-04-22
227,ancud,-41.8697,-73.8203,13.28,67,0,0.8,CL,2023-04-22
228,natal,-5.795,-35.2094,31.36,54,40,8.23,BR,2023-04-22
229,peleduy,59.6289,112.7406,-7.85,96,55,1.64,RU,2023-04-22
230,vila,42.0304,-8.1588,12.61,72,57,5.12,PT,2023-04-22
231,chioggia,45.2256,12.2889,21.17,71,88,4.26,IT,2023-04-22
232,kruisfontein,-34.0033,24.7314,14.38,57,100,0.07,ZA,2023-04-22
233,port lincoln,-34.7333,135.8667,16.49,87,0,4.07,AU,2023-04-22
234,kandara,25.7191,73.2765,29.33,7,0,3.75,IN,2023-04-22
235,sidi ali,36.0998,0.4206,17.91,59,100,2.38,DZ,2023-04-22
236,roebourne,-20.7833,117.1333,26.41,54,75,3.16,AU,2023-04-22
237,majene,-3.5403,118.9707,25.99,88,98,2.07,ID,2023-04-22
238,ayan,56.45,138.1667,-1.98,89,100,2.6,RU,2023-04-22
239,puerto escondido,15.85,-97.0667,30.46,70,40,0.0,MX,2023-04-22
240,saint-georges,12.0564,-61.7485,29.82,74,20,10.29,GD,2023-04-22
241,baft,29.234,56.6057,17.9,27,99,4.36,IR,2023-04-22
242,vrangel,42.7297,133.0839,5.07,40,0,3.99,RU,2023-04-22
243,hobyo,5.3505,48.5268,28.85,74,99,6.01,SO,2023-04-22
244,santa cruz,-17.8,-63.1667,28.07,50,0,1.86,BO,2023-04-22
245,mwinilunga,-11.7358,24.4293,21.32,77,99,0.94,ZM,2023-04-22
246,rapid valley,44.0625,-103.1463,4.31,48,75,9.77,US,2023-04-22
247,hami,42.8,93.45,15.6,11,75,3.1,CN,2023-04-22
248,narsaq,60.9167,-46.05,11.12,56,19,0.46,GL,2023-04-22
249,pangnirtung,66.1451,-65.7125,1.0,86,100,4.12,CA,2023-04-22
250,newport,51.5877,-2.9984,11.92,84,96,5.7,GB,2023-04-22
251,ostersund,63.1792,14.6357,7.01,70,40,4.12,SE,2023-04-22
252,panguna,-6.3164,155.4848,20.32,95,37,1.15,PG,2023-04-22
253,lebu,-37.6167,-73.65,15.0,75,2,7.19,CL,2023-04-22
254,nicoya,10.1483,-85.452,34.8,37,91,1.57,CR,2023-04-22
255,marsabit,2.3284,37.9899,21.98,67,100,7.29,KE,2023-04-22
256,katsuura,35.1333,140.3,13.5,61,99,6.06,JP,2023-04-22
257,pundaguitan,6.3711,126.1689,28.33,75,42,4.46,PH,2023-04-22
258,antalaha,-14.9003,50.2788,25.25,88,83,2.03,MG,2023-04-22
259,fukue,32.6881,128.8419,14.84,61,31,9.01,JP,2023-04-22
260,chifeng,42.2683,118.9636,5.2,16,79,1.42,CN,2023-04-22
261,vyselki,45.5794,39.6597,9.91,87,93,5.17,RU,2023-04-22
262,kodiak,57.79,-152.4072,7.73,36,0,4.63,US,2023-04-22
263,boende,-0.2167,20.8667,21.79,98,100,1.99,CD,2023-04-22
264,ternate,0.8,127.4,27.19,78,85,1.11,ID,2023-04-22
265,iralaya,15.0,-83.2333,29.22,60,19,4.55,HN,2023-04-22
266,cap-aux-meules,47.3821,-61.8597,6.03,75,20,6.17,CA,2023-04-22
267,xanthi,41.1414,24.8836,13.78,86,100,2.5,GR,2023-04-22
268,san-pedro,4.7485,-6.6363,29.45,74,100,5.65,CI,2023-04-22
269,aragarcas,-15.8975,-52.2508,31.36,62,40,2.0,BR,2023-04-22
270,daru,-9.0763,143.2092,26.03,88,100,5.35,PG,2023-04-22
271,sambava,-14.2667,50.1667,26.05,85,95,2.32,MG,2023-04-22
272,palmeira das missoes,-27.8994,-53.3136,22.99,41,78,1.83,BR,2023-04-22
273,inuvik,68.3499,-133.7218,-15.58,78,100,8.23,CA,2023-04-22
274,ngunguru,-35.6167,174.5,16.43,87,56,5.18,NZ,2023-04-22
275,celestun,20.8667,-90.4,29.64,61,10,3.31,MX,2023-04-22
276,flinders,-34.5833,150.8552,14.54,89,42,0.89,AU,2023-04-22
277,kosh-agach,50.0,88.6667,-6.25,58,77,2.11,RU,2023-04-22
278,egvekinot,66.3167,-179.1667,-10.78,89,68,4.06,RU,2023-04-22
279,namatanai,-3.6667,152.4333,26.31,83,95,3.11,PG,2023-04-22
280,fortuna,40.5982,-124.1573,12.03,96,88,2.86,US,2023-04-22
281,samarai,-10.6167,150.6667,27.35,80,80,4.11,PG,2023-04-22
282,springdale,36.1867,-94.1288,13.32,42,0,5.14,US,2023-04-22
